POINT_X,POINT_Y
-119.066172,36.358904
-119.012648,36.053709
-119.206903,36.544809
-119.314505,36.535073
-119.002347,36.0596673
-119.314505,36.535073
-118.9855703,36.0587252
-119.018594,35.950157
-119.0213872,35.9387188
-119.3163174,36.272128
-119.00507,36.0562309
-119.4669378,36.2068175
-119.314505,36.535073
-119.0428438,36.1088538
-119.012648,36.053709
-118.9855703,36.0587252
-119.272118,36.5439269
-119.012648,36.053709
-118.994457,36.056393
-119.012648,36.053709
-119.0743621,36.3624685
-119.1431407,36.0635787
-119.3330954,36.4932506
-119.048373,36.1012879
-119.0077787,36.0626066
-119.4680997,36.2068097
-119.1411564,36.0549866
-119.019895,36.3985879
-118.996758,36.062385
-119.467531,36.206169
-119.4573662,36.3526023
-119.458056,36.351351
-119.461651,36.350415
-119.474902,36.350527
-118.986055,36.061072
-119.141386,36.079111
-119.0703171,36.3586687
-119.305504,36.535857
-119.1163383,36.3580126
-118.986625,36.055169
-119.2600794,36.5648979
-119.048372,36.101117
-119.335499,36.492581
-119.002956,36.059056
-118.997661,36.055275
-118.978769,36.0539739
-118.9816627,36.0616355
-118.9855703,36.0587252
-119.001153,36.06011
-118.935423,36.047795
-118.9875802,36.0614062
-118.9861249,36.0586502
-118.986747,36.060223
-118.974177,36.0618399
-119.0464853,36.1528045
-119.2706232,36.4865134
-119.2600663,36.5637824
-118.995546,36.048847
-119.088426,36.057604
-119.185133,36.312947
-119.1347726,36.1611761
-119.065564,36.359716
-118.971845,36.06057
-119.0260308,36.3851535
-118.9720256,36.0596058
-119.468463,36.206174
-118.993878,36.057414
-119.293323,36.495662
-119.061986,36.098683
-119.3139861,36.542192
-119.470093,36.205083
-118.9638666,36.0555615
-119.3034585,36.3746098
-119.084077,36.3252233
-119.0011585,36.0626432
-118.978769,36.0539739
-118.9610905,36.0538963
-119.225679,36.315076
-119.0499597,36.0988397
-118.98566,36.05445
-118.978769,36.0539739
-118.9634567,36.0551633
-119.080323,36.400564
-118.971184,36.057696
-119.0884702,36.065192
-119.012378,36.053815
-119.3359165,36.4929292
-118.9970692,36.0497005
-119.295488,36.574407
-119.272401,36.5465019
-119.4705441,36.2067868
-119.236708,36.347116
-119.0155961,36.0529994
-118.996786,36.057166
-119.011668,36.05231
-118.996192,36.0623829
-118.979004,36.055235
-119.316726,36.270395
-118.979004,36.055235
-119.431215,36.488593
-119.003535,36.060347
-118.9610905,36.0538941
-119.261845,36.498196
-119.082688,36.397602
-119.51697,36.136745
-119.376083,36.233187
-119.012357,36.040234
-119.0128879,36.0413805
-119.0467492,36.0582726
-118.964531,36.053817
-119.257222,36.495086
-118.997016,36.061997
-118.99522,36.057111
-118.996209,36.060845
-118.982782,36.058224
-118.980929,36.054346
-118.973282,36.060161
-119.07688,36.065335
-119.302368,36.509132
-118.9694448,36.0618191
-119.256617,36.555692
-119.236708,36.347116
-119.293842,35.988239
-119.273809,36.545043
-119.286664,36.598821
-119.058359,36.001346
-118.979718,36.05803
-119.236708,36.347116
-119.2946861,35.935283
-118.996192,36.0623829
-119.0146889,36.0432872
-119.0861639,36.0649009
-118.9705409,36.0551112
-119.3045103,36.5038135
-119.298398,36.545263
-119.00057,36.059963
-119.306506,36.561274
-119.0002437,36.0595048
-119.253755,36.514702
-119.4127738,36.5568925
-119.212402,36.266981
-119.2600663,36.5637824
-119.0886906,36.0646709
-119.2600663,36.5637824
-119.258958,36.562218
-119.328168,36.5333029
-119.321405,36.497099
-118.983885,36.057651
-118.996008,36.060844
-119.1341707,36.2196844
-119.468463,36.206174
-118.9840016,36.0573782
-119.205571,36.267219
-119.084077,36.3252233
-118.9622007,36.0550586
-119.0035954,36.0581121
-119.127672,36.219594
-119.257433,36.5158259
-119.224068,36.318961
-118.9827851,36.0540972
-119.290733,36.375901
-119.06482,36.358034
-118.9577391,36.0564204
-119.485508,36.527443
-119.279702,36.35741
-118.99009,36.055244
-118.993878,36.057414
-119.0057139,36.0561746
-119.2424996,36.3971727
-119.407142,36.527382
-118.9849974,36.0545406
-118.963495,36.057494
-118.974441,36.058853
-119.4679105,36.2048869
-118.979351,36.05728
-118.983652,36.0568389
-119.39622,36.569091
-118.9445535,36.146407
-119.254486,36.567015
-119.0276997,36.0198001
-119.2960392,36.4161182
-119.3137904,36.5433946
-118.9973143,36.0619352
-119.2504483,36.4863143
-119.2504483,36.4863143
-119.078639,36.0805269
-118.973551,36.059753
-119.254186,36.550626
-119.011148,36.164797
-119.016965,36.13056
-118.9061009,36.4554106
-119.068652,36.2216615
-119.341095,36.494816
-118.9647482,36.0586828
-119.46654,36.2101619
-119.293286,36.374819
-118.988872,36.055829
-118.980504,36.055207
-119.029413,36.07167
-119.1005502,36.3847355
-118.9992023,36.0622524
-119.2280604,36.4811655
-118.971839,36.056009
-119.302368,36.509132
-118.9916022,36.0573038
-118.998715,36.060981
-119.18267,36.41418
-118.99552,36.062382
-119.2505539,35.8535372
-119.279731,36.361891
-118.9633727,36.055068
-119.2689277,36.5415487
-119.063736,36.097201
-119.0057139,36.0561746
-118.971845,36.061481
-119.114812,36.288638
-119.114812,36.288638
-118.988872,36.055829
-119.2685352,36.4938546
-119.066831,36.358647
-119.26955,36.551917
-118.93534,36.0483059
-119.137983,36.224172
-118.975799,36.061367
-119.320464,36.5506079
-118.964628,36.055614
-119.168857,36.252923
-119.232981,36.399698
-118.971846,36.060874
-119.037438,36.015409
-119.223408,36.320312
-119.2597107,36.170118
-119.108708,36.226925
-119.002616,36.060995
-119.3617006,36.236576
-119.2736401,36.5445644
-119.061699,36.098647
-119.179817,36.089433
-119.2600833,36.1961208
-119.012483,36.0417429
-118.99679,36.061514
-119.004886,36.085865
-119.292103,36.554349
-118.9995285,36.0590323
-119.004575,36.056673
-118.9798939,36.0600991
-119.060931,36.098728
-118.998186,36.060802
-119.013054,36.0413784
-118.977854,36.05558
-119.0351641,36.0611288
-118.986114,36.0621585
-119.322261,36.427751
-118.9861115,36.0559471
-119.150514,36.31011
-119.234344,36.402825
-119.331777,36.268226
-119.259122,36.419922
-119.258956,36.561121
-119.270049,36.564435
-119.325841,36.514246
-118.995542,36.049368
-119.041811,36.088481
-119.237871,36.543823
-119.3182442,36.5503302
-119.3165437,36.2701691
-119.383725,36.174309
-119.2641121,36.5155128
-118.9629295,36.0551371
-119.0499282,36.0995164
-119.315989,36.547668
-119.256181,36.49987
-119.011154,36.05444
-119.468925,36.2061769
-119.314855,36.272779
-119.228539,36.481355
-119.2504483,36.4863143
-119.051189,36.348403
-119.0203181,36.0578321
-118.9638737,36.0580021
-119.073915,36.099733
-118.9682357,36.0550566
-118.981541,36.058157
-119.023216,36.019911
-118.9867397,36.059793
-118.986749,36.060501
-118.9816183,36.0586964
-118.964628,36.055614
-118.964466,36.055964
-118.980219,36.058211
-119.327017,36.538142
-119.252158,36.48586
-119.485508,36.527443
-119.2576739,36.5008923
-118.986968,36.055134
-119.2576739,36.5008923
-119.2576739,36.5008923
-119.3330539,36.2837457
-119.2865,36.569677
-119.2865,36.569677
-119.0127561,36.0413813
-119.1007847,36.3847339
-119.260758,36.513315
-119.22425,36.4816999
-119.367753,36.5593016
-119.468967,36.20767
-119.468614,36.204306
-119.360902,36.524685
-119.025038,36.085425
-119.3182442,36.5503302
-119.38529,36.527201
-119.260758,36.513315
-119.2538599,36.5225765
-119.269009,36.212883
-119.0124955,36.0413834
-119.04257,36.09867
-118.9490553,36.0548962
-119.4369912,36.5028256
-118.9638666,36.0555615
-119.2452189,36.3267929
-119.2870755,36.5674191
-119.2909551,36.4347472
-119.261099,36.484498
-119.1013372,36.2332243
-118.971675,36.0618399
-119.2869973,36.5593302
-118.998664,36.055984
-119.315364,36.272776
-119.2961202,36.5725453
-118.964628,36.055614
-119.3361,36.492908
-119.291925,36.567113
-119.3004417,36.5158107
-119.27283,36.494312
-119.0017946,36.0596424
-119.2641121,36.5155128
-118.970434,36.055491
-119.0122047,36.0413944
-118.989599,36.055061
-119.0975983,36.1383037
-119.0223369,36.0999957
-119.013221,36.052677
-119.4011053,36.5713276
-119.247217,36.3265739
-119.27266,36.565594
-119.092942,36.1916269
-119.179226,36.3946067
-118.971847,36.061279
-118.978795,36.054488
-119.404741,36.345391
-119.252211,36.560588
-119.237507,36.5655379
-119.455756,36.454443
-119.0807434,36.146526
-119.062971,36.356645
-119.008107,36.0267229
-119.319185,36.493308
-119.000436,36.056434
-119.260632,36.207034
-119.268546,35.791725
-119.2217174,36.4861277
-118.984661,36.055444
-118.968923,36.06179
-119.46886,36.203461
-119.479013,36.522824
-118.963419,36.053987
-119.228122,36.481352
-119.1501504,36.2247139
-118.95944,36.044013
-119.393003,36.210916
-119.250595,36.414541
-119.0896223,36.1315076
-119.109582,36.2263062
-119.1399661,36.0497198
-119.014156,36.052399
-119.064947,36.101107
-119.4845365,36.5355316
-119.259122,36.419922
-119.3372975,36.4435824
-119.4794594,36.4190535
-118.99545,36.056399
-119.07688,36.065335
-118.9883695,36.0560132
-119.018511,36.4001019
-118.999762,36.0577472
-119.061986,36.098683
-119.4674347,36.2106634
-119.008098,36.043301
-118.995009,36.055269
-118.9523281,36.055084
-119.275133,36.555757
-119.2373472,36.5616184
-119.030393,36.030346
-119.01325,36.0413775
-119.216322,36.257554
-118.968141,36.059558
-119.438848,36.474637
-119.015891,36.040858
-119.271917,36.565272
-119.280477,36.543838
-119.46762,36.209985
-119.106673,36.067026
-119.024861,36.096113
-119.041169,36.129858
-119.048506,36.008238
-119.0017946,36.0596424
-119.2917424,36.3855448
-119.031452,36.087896
-119.094566,36.131789
-119.169881,36.260314
-118.9816277,36.0569198
-119.237552,36.312885
-119.483443,36.4813118
-119.296531,36.554632
-119.008098,36.043301
-119.256924,36.38601
-119.260237,36.287878
-119.392489,36.522319
-118.9694178,36.0559667
-119.249275,36.484371
-119.254669,36.389153
-119.044274,36.117782
-119.3774615,36.1674618
-119.290098,36.3848467
-119.193968,36.311905
-119.256924,36.38601
-119.04042,36.093506
-118.995893,36.0563999
-119.268651,36.5044684
-119.2090217,36.3486702
-119.0896542,36.145501
-118.97184,36.059353
-118.9858867,36.0592326
-119.314137,36.272782
-119.259393,36.559393
-119.3060625,36.2849245
-119.087423,36.064988
-118.984381,36.072158
-119.378842,36.589554
-119.132369,36.275676
-119.293842,35.988239
-119.2682133,35.9926889
-119.117765,36.256501
-118.9808678,36.0549886
-119.256702,36.5602189
-118.974456,36.060967
-119.259382,36.206738
-119.2851631,36.5664927
-119.251121,36.470967
-119.256688,36.55937
-119.073019,36.396801
-118.99552,36.062382
-119.176197,36.123043
-119.0046787,36.0571238
-119.125553,36.265399
-118.9933207,36.05712
-119.058359,36.001346
-119.467725,36.207187
-119.2693984,36.5501
-119.270049,36.564435
-118.967582,36.058302
-119.335215,36.491319
-118.96901,36.059067
-119.28168,36.53643
-119.381544,36.201827
-118.9638757,36.0586741
-119.041578,36.129844
-119.052605,36.094207
-118.9912373,36.0574971
-119.078639,36.0805269
-119.000151,36.060303
-118.9916022,36.0573038
-118.9610914,36.0537825
-118.99009,36.055244
-119.145955,36.257571
-119.145955,36.257571
-119.0968038,36.0511931
-119.166318,36.127766
-118.987145,36.058253
-118.999005,36.056395
-119.0020122,36.0584778
-119.0039949,36.0576424
-118.9839704,36.0658341
-118.972655,36.055237
-118.97184,36.059353
-119.041578,36.129844
-119.0886829,36.0658211
-119.013945,36.0527439
-119.0096221,36.051151
-119.0530825,36.3431558
-118.928831,36.043332
-119.2554693,36.5550144
-119.013052,36.041707
-119.251639,36.558346
-118.9508237,36.0550953
-119.2504483,36.4863143
-119.261099,36.484498
-119.018174,36.096015
-119.103243,36.130133
-119.068989,36.220192
-118.969011,36.06063
-119.0086239,36.0864778
-118.968748,36.054505
-118.961886,36.389409
-119.320464,36.5506079
-119.286621,36.5594729
-118.6473247,35.8231546
-119.2736401,36.5445644
-119.334248,36.496274
-119.4661825,36.2254877
-118.969013,36.060088
-119.1885759,36.4386887
-118.9809736,36.0551559
-119.2693984,36.5501
-118.959011,36.053552
-119.248543,36.53662
-119.2870768,36.5675618
-119.2363928,36.2617858
-119.3049383,36.557885
-118.99701,36.0613219
-119.2925917,36.4940257
-119.3226495,36.5365439
-119.2086741,36.3486557
-119.2085767,36.3486519
-119.224279,36.329365
-118.9816654,36.0589904
-119.32921,36.449793
-119.0111982,36.0414203
-119.0087218,36.0587634
-119.273148,36.56516
-119.261947,36.51929
-118.971993,36.05873
-119.018758,36.096915
-118.9513314,36.0455485
-119.01592,36.055319
-119.0090709,36.0394228
-119.0090709,36.0394228
-118.998674,36.064818
-118.977291,36.053738
-119.015738,36.052786
-118.991907,36.056599
-119.142057,36.0515241
-118.9945321,36.0579233
-119.1438466,36.3266696
-119.269203,36.508719
-119.3038485,35.9505383
-119.025084,35.945498
-118.9919637,36.0574418
-119.047038,36.099316
-119.0090709,36.0394228
-118.9823779,36.0021156
-119.0499597,36.0988397
-118.998126,36.066321
-119.269813,36.565077
-118.985684,36.056218
-118.983137,36.060374
-119.231975,36.542347
-119.273148,36.56516
-119.059423,36.09739
-119.01325,36.0413775
-119.001945,36.057991
-119.272401,36.5465019
-119.319185,36.493308
-119.079769,35.9671329
-118.968141,36.059558
-119.016244,36.086426
-118.955771,36.054313
-118.9995282,36.0589856
-119.2689277,36.5415487
-119.272401,36.5465019
-119.013217,36.041947
-118.937182,36.0502501
-119.1003686,36.0715161
-119.2640685,36.5444597
-118.9769218,36.0559975
-119.2607196,36.5661413
-119.0485,35.889747
-118.98385,36.055545
-119.259034,36.571369
-119.304267,36.545393
-119.059725,36.097392
-119.2592083,36.4939824
-119.252374,36.544578
-119.0895662,35.9638468
-119.01386,36.0404253
-119.257433,36.5158259
-119.3090646,36.4939813
-119.251142,36.498626
-119.0163332,36.0429227
-119.201003,36.266133
-119.2689265,36.5422182
-118.9850157,36.0537037
-119.270106,36.542232
-119.18973,36.501057
-119.2690171,36.5503322
-119.00254,36.08644
-118.9995856,36.0617274
-119.107889,36.127455
-119.299772,36.5135999
-119.3667166,36.2329283
-119.1183323,36.2560375
-119.013254,36.042329
-119.055576,36.11219
-119.1358083,36.1854091
-118.998133,36.057998
-119.008277,36.0581559
-119.0336432,36.0875578
-119.265961,36.38655
-118.999402,36.0561312
-119.049922,35.892361
-119.2380301,36.3125587
-118.9861249,36.0586324
-119.516688,36.488092
-118.972535,36.058265
-119.1781806,36.3120393
-119.0087235,36.0153615
-118.997606,36.05716
-119.0082,36.085393
-118.9983122,36.0566472
-118.9513314,36.0455485
-119.0090709,36.0394228
-119.02062,36.095486
-119.319496,36.428227
-119.034302,36.025367
-119.291023,36.381793
-118.7941346,36.0219694
-119.275049,36.493594
-119.252374,36.544578
-119.256623,36.5565969
-118.998367,36.036563
-118.935268,36.05173
-118.999916,36.0558229
-118.980677,36.052949
-119.277408,36.5373646
-118.976684,36.05527
-118.9915275,36.0572671
-119.015316,36.04209
-119.370471,36.516133
-118.9638661,36.0553947
-119.291215,36.559897
-119.174594,36.48627
-119.010851,36.036321
-119.2504483,36.4863143
-119.349729,36.190942
-119.288883,36.576127
-118.974161,36.058862
-119.0014637,36.0584743
-119.3037216,36.5449055
-119.273148,36.56516
-119.172589,36.294635
-119.3396182,35.9787623
-119.120709,36.078494
-119.3947142,36.4935052
-119.0037614,36.0569183
-119.054442,36.115797
-119.27584,36.377866
-119.1303988,36.0515968
-119.0110837,36.0406887
-119.091936,36.211047
-118.798516,36.0388478
-119.017369,36.085872
-118.9722159,36.0583008
-118.985088,36.061498
-118.9611262,36.0552146
-118.8199107,36.0048957
-119.014927,36.044218
-119.0084841,36.0410376
-119.255181,36.5443614
-119.248434,36.544553
-119.236282,36.191511
-119.2610832,36.5154536
-119.296189,36.376038
-119.000664,36.057148
-118.939147,36.040659
-119.2556151,36.5720578
-119.2537338,36.5152978
-119.012692,36.043113
-118.9639791,36.0562081
-119.041338,36.0921019
-119.253297,36.498503
-119.290807,36.37942
-119.1191105,36.1092325
-118.981541,36.058157
-119.109885,36.053008
-118.977024,36.059131
-118.953955,36.053562
-119.2373472,36.5616184
