YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl,pcnt_groundwater
2010,AR,05049,12.245,1.89,84.42,0.0223880597014925
2010,AR,05051,96.024,0.05,17.58,0.00284414106939704
2010,AR,05053,17.853,5.12,5.32,0.962406015037594
2010,AR,05055,42.09,356.37,366.98,0.971088342688975
2010,AR,05057,22.609,3.41,4.66,0.731759656652361
2010,AR,05059,32.923,0.44,125.01,0.0035197184225262
2010,AR,05061,13.789,0.54,4.43,0.121896162528217
2010,AR,05063,36.647,58.67,156.7,0.374409700063816
2010,AR,05065,13.696,1.3,4.64,0.280172413793103
2010,AR,05067,17.997,419.5,441.98,0.949137970043893
2010,AR,05069,77.435,279.54,350.63,0.797250663092149
2010,AR,05071,25.54,0.35,5.57,0.0628366247755835
2010,AR,05073,7.645,24.04,25.12,0.957006369426752
2010,AR,05075,17.415,179.91,198.54,0.906165004533092
2010,AR,05077,10.424,300.75,307,0.979641693811075
2010,AR,05079,14.134,197.41,224.19,0.880547749676614
2010,AR,05081,13.171,4.02,105.18,0.038220193953223
2010,AR,05083,22.353,0.71,4.18,0.169856459330144
2010,AR,05085,68.356,365.79,489.49,0.747287993626019
2010,AR,05087,15.717,0.93,1.77,0.525423728813559
2010,AR,05089,16.653,0.84,2.03,0.413793103448276
2010,AR,05091,43.462,6.85,15.52,0.441365979381443
2010,AR,05093,46.48,373.53,381.18,0.979930741382024
2010,AR,05095,8.149,277.81,297.51,0.933783738361736
2010,AR,05097,9.487,0.2,1,0.2
2010,AR,05099,8.997,0.43,1.35,0.318518518518518
2010,AR,05101,8.33,1.15,1.36,0.845588235294118
2010,AR,05103,26.12,1.24,43.44,0.0285451197053407
2010,AR,05105,10.445,0.49,2.02,0.242574257425743
2010,AR,05107,21.757,264.81,266.66,0.993062326558164
2010,AR,05109,11.291,0.65,1.84,0.353260869565217
2010,AR,05111,24.583,845.82,937.26,0.902439024390244
2010,AR,05113,20.662,1.15,3.95,0.291139240506329
2010,AR,05115,61.754,1.7,987.15,0.00172212936230563
2010,AR,05117,8.715,237.96,334.17,0.712092647454888
2010,AR,05119,382.748,14.98,82.11,0.182438192668372
2010,AR,05121,17.969,111.43,156.18,0.713471635292611
2010,AR,05123,28.258,343.04,363.06,0.944857599294882
2010,AR,05125,107.118,4.55,31.88,0.142722710163112
2010,AR,05127,11.233,0.6,1.91,0.31413612565445
2010,AR,05129,8.195,1.54,1.81,0.850828729281768
2010,AR,05131,125.744,0.24,3.74,0.0641711229946524
2010,AR,05133,17.058,0.95,4.58,0.207423580786026
2010,AR,05135,17.264,1.39,3.5,0.397142857142857
2010,AR,05137,12.394,0.67,2.79,0.240143369175627
2010,AR,05139,41.639,7.64,20.42,0.374142997061704
2010,AR,05141,17.295,0.25,4.35,0.0574712643678161
2010,AR,05143,203.065,1.09,3.07,0.355048859934853
2010,AR,05145,77.076,32.56,88.03,0.369873906622742
2010,AR,05147,7.26,215.36,246.32,0.874309840857421
2010,AR,05149,22.185,0.45,4.13,0.108958837772397
2010,CA,06001,1510.271,46.13,254.89,0.180980030601436
2010,CA,06003,1.175,0.12,4.47,0.0268456375838926
2010,CA,06005,38.091,7.67,32.37,0.236947791164659
2010,CA,06007,220,293.28,715.33,0.409992590832203
2010,CA,06009,45.578,3.26,23.39,0.139375801624626
2010,CA,06011,21.419,130.76,835.02,0.15659505161553
2010,CA,06013,1049.025,20.93,302.73,0.0691375152776401
2010,CA,06015,28.61,12.94,13.67,0.94659839063643
2010,CA,06017,181.058,12.68,55.73,0.227525569711107
2010,CA,06019,930.45,928.31,2813.24,0.329978956647851
2010,CA,06021,28.122,231.1,606.63,0.380957090813181
2010,CA,06023,134.623,41.9,113.98,0.367608352342516
2010,CA,06025,174.528,36.35,1169.24,0.0310885703533919
2010,CA,06027,18.546,79.6,111.57,0.713453437303935
2010,CA,06029,839.631,1061.79,2159.89,0.491594479348485
2010,CA,06031,152.982,542.11,1298.85,0.417376910343766
2010,CA,06033,64.665,35.71,50.85,0.702261553588987
2010,CA,06035,34.895,65.51,202.61,0.323330536498692
2010,CA,06037,9818.605,890.07,3064.01,0.290491871762821
2010,CA,06039,150.865,383.11,748.71,0.511693446060557
2010,CA,06041,252.409,8.52,42.85,0.198833138856476
2010,CA,06043,18.251,4.43,5.32,0.832706766917293
2010,CA,06045,87.841,38.06,81.53,0.466822028701092
2010,CA,06047,255.793,462.91,1494.67,0.309707159439876
2010,CA,06049,9.686,65.07,261.53,0.248805108400566
2010,CA,06051,14.202,53.25,229.71,0.231814026381089
2010,CA,06053,415.057,536.74,545.54,0.983869193826301
2010,CA,06055,136.484,57.77,96.86,0.596427833987198
2010,CA,06057,98.764,10.82,48.69,0.222222222222222
2010,CA,06059,3010.232,328.64,765.39,0.429375873737572
2010,CA,06061,348.432,32.02,191.22,0.167451103441063
2010,CA,06063,20.007,26.48,118.73,0.223027036132401
2010,CA,06065,2189.641,494.47,1099.26,0.449820788530466
2010,CA,06067,1418.788,315.02,681.06,0.462543681907615
2010,CA,06069,55.269,62.55,85.44,0.732092696629214
2010,CA,06071,2035.21,545.21,659.42,0.826802341451579
2010,CA,06073,3095.313,86.4,2818.19,0.0306579755091034
2010,CA,06075,805.235,1.99,93.49,0.0212856990052412
2010,CA,06077,685.306,559.35,1753.37,0.319014241147048
2010,CA,06079,269.637,188.54,2579.14,0.0731018866754034
2010,CA,06081,718.451,11.93,93.08,0.128169316716803
2010,CA,06083,423.895,210.19,264.25,0.795421002838221
2010,CA,06085,1781.642,140.85,298.22,0.472302327141037
2010,CA,06087,262.382,54.81,66.38,0.825700512202471
