YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl
2000,CO,08063,8.01,186.44,186.44
2000,CO,08065,7.81,0.64,41.02
2000,CO,08067,43.94,3.97,220.61
2000,CO,08069,251.49,27.03,272.04
2000,CO,08071,15.21,2.89,121.73
2000,CO,08073,6.09,20.04,20.22
2000,CO,08075,20.5,55.94,309.31
2000,CO,08077,116.26,7.6,1201.97
2000,CO,08079,0.83,0.11,0.11
2000,CO,08081,13.18,1.32,208.74
2000,CO,08083,23.83,1.15,428.75
2000,CO,08085,33.43,5.83,597.74
2000,CO,08087,27.17,111.8,288.21
2000,CO,08089,20.31,10.17,281.91
2000,CO,08091,3.74,0.36,82.1
2000,CO,08093,14.52,1.72,28.13
2000,CO,08095,4.48,128.11,129.83
2000,CO,08097,14.87,0.48,43.19
2000,CO,08099,14.48,96.58,429.06
2000,CO,08101,141.47,10.61,246.32
2000,CO,08103,5.99,1.78,216.58
2000,CO,08105,12.41,171.59,285.33
2000,CO,08107,19.69,2.94,271.22
2000,CO,08109,5.92,357.81,647.03
2000,CO,08111,0.56,0.02,0.17
2000,CO,08113,6.59,0.33,9.88
2000,CO,08115,2.75,62.39,112.06
2000,CO,08117,23.55,2.33,4.5
2000,CO,08119,20.56,1.4,6.84
2000,CO,08121,4.93,58.59,64.24
2000,CO,08123,180.94,142.19,1064.17
2000,CO,08125,9.84,315.18,321.13
2000,CT,09001,882.57,,
2000,CT,09003,857.18,,
2000,CT,09005,182.19,,
2000,CT,09007,155.07,,
2000,CT,09009,824.01,,
2000,CT,09011,259.09,,
2000,CT,09013,136.36,,
2000,CT,09015,109.09,,
2000,DE,10001,126.7,27.38,29.62
2000,DE,10003,500.27,33.92,819.74
2000,DE,10005,156.64,53.86,473.27
2000,DC,11001,572.06,,9.87
2000,FL,12001,217.96,57.53,58.1
2000,FL,12003,22.26,5.77,7.5
2000,FL,12005,148.22,12.14,322.87
2000,FL,12007,26.09,4.59,4.65
2000,FL,12009,476.23,142.83,1261.31
2000,FL,12011,1623.02,272.92,1813.66
2000,FL,12013,13.02,4.34,6.13
2000,FL,12015,141.63,35.85,63.93
2000,FL,12017,118.09,29.99,425.19
2000,FL,12019,140.81,33.07,33.59
2000,FL,12021,251.38,202.36,229.91
2000,FL,12023,56.51,13.54,13.75
2000,FL,12027,32.21,123.87,133.38
2000,FL,12029,13.83,3.26,3.29
2000,FL,12031,778.88,151.69,814.49
2000,FL,12033,294.41,88.46,313.77
2000,FL,12035,49.83,24.35,27.88
2000,FL,12037,11.06,2.25,2.25
2000,FL,12039,45.09,8.21,15.61
2000,FL,12041,14.44,15.57,15.89
2000,FL,12043,10.58,20.99,74.63
2000,FL,12045,13.33,2.78,4.43
2000,FL,12047,13.33,41.59,41.7
2000,FL,12049,26.94,90.55,91.15
2000,FL,12051,36.21,196.91,511.9
2000,FL,12053,130.8,49.46,50.45
2000,FL,12055,87.37,157.02,174.26
2000,FL,12057,998.95,196.72,3479.0
2000,FL,12059,18.56,3.77,4.09
2000,FL,12061,112.95,87.36,287.46
2000,FL,12063,46.76,20.37,111.6
2000,FL,12065,12.9,8.19,8.36
2000,FL,12067,7.02,6.58,6.74
2000,FL,12069,210.53,89.74,99.51
2000,FL,12071,440.89,120.34,652.38
2000,FL,12073,239.45,45.24,45.54
2000,FL,12075,34.45,28.39,31.02
2000,FL,12077,7.02,1.57,1.57
2000,FL,12079,18.73,8.96,9.13
2000,FL,12081,264.0,122.25,186.9
2000,FL,12083,258.92,66.7,68.81
2000,FL,12085,126.73,43.23,198.5
2000,FL,12086,2253.36,536.62,598.49
2000,FL,12087,79.59,1.34,1.96
2000,FL,12089,57.66,46.51,48.17
2000,FL,12091,170.5,28.01,28.47
2000,FL,12093,35.91,59.44,71.47
2000,FL,12095,896.34,258.77,275.49
2000,FL,12097,172.49,116.68,142.71
2000,FL,12099,1131.18,273.18,1711.61
2000,FL,12101,344.77,138.79,2097.53
2000,FL,12103,921.48,43.13,465.82
2000,FL,12105,483.92,328.88,362.61
2000,FL,12107,70.42,40.26,89.18
2000,FL,12109,123.14,52.54,55.7
2000,FL,12111,192.7,80.82,1757.69
2000,FL,12113,117.74,30.37,30.72
2000,FL,12115,325.96,40.29,46.4
2000,FL,12117,365.2,88.43,90.21
2000,FL,12119,53.35,26.7,44.39
2000,FL,12121,34.84,26.3,127.71
2000,FL,12123,19.26,46.79,49.81
2000,FL,12125,13.44,2.52,2.54
2000,FL,12127,443.34,96.97,234.69
2000,FL,12129,22.86,4.79,33.17
2000,FL,12131,40.6,10.41,12.22
2000,FL,12133,20.97,4.1,4.1
2000,GA,13001,17.42,4.63,63.7
2000,GA,13003,7.61,3.18,6.55
2000,GA,13005,10.1,4.56,5.85
2000,GA,13007,4.07,38.8,41.85
2000,GA,13009,44.7,0.65,8.77
2000,GA,13011,14.42,0.87,2.1
2000,GA,13013,46.14,2.01,7.54
2000,GA,13015,76.02,6.43,66.03
2000,GA,13017,17.48,8.43,11.23
2000,GA,13019,16.24,8.51,15.26
2000,GA,13021,153.89,5.67,154.71
2000,GA,13023,11.67,8.33,16.13
2000,GA,13025,14.63,1.52,1.75
2000,GA,13027,16.45,4.99,6.38
2000,GA,13029,23.42,2.83,2.84
2000,GA,13031,55.98,12.59,15.48
2000,GA,13033,22.24,27.25,98.07
2000,GA,13035,19.52,0.48,3.82
2000,GA,13037,6.32,22.79,34.53
2000,GA,13039,43.66,41.75,49.23
2000,GA,13043,9.58,3.44,6.37
2000,GA,13045,87.27,3.2,12.1
2000,GA,13047,53.28,9.03,10.67
2000,GA,13049,10.28,1.38,1.48
2000,GA,13051,232.05,70.9,213.7
2000,GA,13053,14.88,0.5,9.66
2000,GA,13055,25.47,6.42,11.54
2000,GA,13057,141.9,2.44,20.39
2000,GA,13059,101.49,0.41,19.41
2000,GA,13061,3.36,1.49,5.85
2000,GA,13063,236.52,0.02,26.53
2000,GA,13065,6.88,1.5,1.86
2000,GA,13067,607.75,1.17,466.78
2000,GA,13069,37.41,12.76,21.26
2000,GA,13071,42.05,18.12,45.91
2000,GA,13073,89.29,2.49,17.27
2000,GA,13075,15.77,8.0,12.04
2000,GA,13077,89.22,5.35,560.37
2000,GA,13079,12.5,4.55,6.06
2000,GA,13081,22.0,15.14,17.41
2000,GA,13083,15.15,0.48,2.64
2000,GA,13085,16.0,0.62,2.3
2000,GA,13087,28.24,55.15,62.66
2000,GA,13089,665.86,3.14,91.67
2000,GA,13091,19.17,4.12,15.89
2000,GA,13093,11.52,24.87,26.43
2000,GA,13095,96.06,55.4,222.15
2000,GA,13097,92.17,0.8,12.14
2000,GA,13099,12.35,38.85,157.08
2000,GA,13101,3.75,6.06,6.59
2000,GA,13103,37.54,5.29,149.3
2000,GA,13105,20.51,0.87,3.21
2000,GA,13107,21.84,4.87,5.86
2000,GA,13109,10.5,3.23,4.37
2000,GA,13111,19.8,0.74,2.12
2000,GA,13113,91.26,2.82,17.19
2000,GA,13115,90.56,3.41,585.89
2000,GA,13117,98.41,2.4,18.97
2000,GA,13119,20.28,1.3,3.8
2000,GA,13121,816.01,1.19,170.75
2000,GA,13123,23.46,1.88,6.95
2000,GA,13125,2.56,0.27,0.36
2000,GA,13127,67.57,61.81,146.05
2000,GA,13129,44.1,2.4,16.47
2000,GA,13131,23.66,9.21,19.63
2000,GA,13133,14.41,0.69,13.27
2000,GA,13135,588.45,0.4,93.54
2000,GA,13137,35.9,1.78,7.58
2000,GA,13139,139.28,5.71,25.2
2000,GA,13141,10.08,0.38,1.15
2000,GA,13143,25.69,0.46,3.73
2000,GA,13145,23.7,1.1,6.5
2000,GA,13147,23.0,1.3,4.38
2000,GA,13149,11.01,0.65,73.53
2000,GA,13151,119.34,0.73,13.51
2000,GA,13153,110.76,26.83,27.93
2000,GA,13155,9.93,7.61,12.73
2000,GA,13157,41.59,2.56,7.08
2000,GA,13159,11.43,1.36,2.92
2000,GA,13161,12.68,4.47,6.51
2000,GA,13163,17.27,13.25,27.03
2000,GA,13165,8.58,4.84,6.85
2000,GA,13167,8.56,2.3,3.01
2000,GA,13169,23.64,2.37,2.68
2000,GA,13171,15.91,1.51,6.7
2000,GA,13173,7.24,2.3,2.74
2000,GA,13175,44.87,10.75,32.32
2000,GA,13177,24.76,33.11,34.76
2000,GA,13179,61.61,14.88,14.98
2000,GA,13181,8.35,0.62,1.19
2000,GA,13183,10.3,0.84,0.97
2000,GA,13185,92.12,29.89,32.95
2000,GA,13187,21.02,1.46,3.87
2000,GA,13189,21.23,1.23,5.46
2000,GA,13191,10.85,1.03,1.18
2000,GA,13193,14.07,16.25,31.56
2000,GA,13195,25.73,2.06,3.02
2000,GA,13197,7.14,2.48,3.52
2000,GA,13199,22.53,2.65,5.99
2000,GA,13201,6.38,31.0,34.01
2000,GA,13205,23.93,61.51,77.69
2000,GA,13207,21.76,3.39,125.77
2000,GA,13209,8.27,1.81,2.65
2000,GA,13211,15.46,0.88,2.65
2000,GA,13213,36.51,2.15,4.93
2000,GA,13215,186.29,0.08,45.62
2000,GA,13217,62.0,1.43,12.79
2000,GA,13219,26.22,2.6,3.13
2000,GA,13221,12.64,0.92,1.81
2000,GA,13223,81.68,1.47,4.32
2000,GA,13225,23.67,12.34,13.25
2000,GA,13227,22.98,1.26,3.22
2000,GA,13229,15.64,7.52,8.27
2000,GA,13231,13.69,1.24,2.14
2000,GA,13233,38.13,4.2,8.77
2000,GA,13235,9.59,13.89,16.93
2000,GA,13237,18.81,1.25,988.4
2000,GA,13239,2.6,0.22,0.35
2000,GA,13241,15.05,0.69,4.17
2000,GA,13243,7.79,5.06,9.17
2000,GA,13245,199.78,24.26,125.52
2000,GA,13247,70.11,0.39,2.38
2000,GA,13249,3.77,0.52,0.86
2000,GA,13251,15.37,19.43,25.45
2000,GA,13253,9.37,63.79,70.58
2000,GA,13255,58.42,0.92,11.24
2000,GA,13257,25.44,0.4,3.79
2000,GA,13259,5.25,0.89,3.2
2000,GA,13261,33.2,24.4,42.38
2000,GA,13263,6.5,1.46,2.64
2000,GA,13265,2.08,0.18,0.23
2000,GA,13267,22.3,5.59,8.41
2000,GA,13269,8.82,5.93,9.44
2000,GA,13271,11.79,4.88,6.15
2000,GA,13273,10.97,11.15,22.05
2000,GA,13275,42.74,17.48,20.71
2000,GA,13277,38.41,17.3,27.88
2000,GA,13279,26.07,7.26,14.34
2000,GA,13281,9.32,0.19,1.19
2000,GA,13283,6.85,1.25,1.6
2000,GA,13285,58.78,0.67,13.11
2000,GA,13287,9.5,7.05,16.73
2000,GA,13289,10.59,19.34,19.66
2000,GA,13291,17.29,0.84,1.5
2000,GA,13293,27.6,2.6,10.29
2000,GA,13295,61.05,8.99,14.51
2000,GA,13297,60.69,2.86,9.05
2000,GA,13299,35.48,8.2,9.83
2000,GA,13301,6.34,0.98,2.5
2000,GA,13303,21.18,24.57,26.07
2000,GA,13305,26.56,64.13,64.55
2000,GA,13307,2.39,0.51,3.9
2000,GA,13309,6.18,1.26,4.95
2000,GA,13311,19.94,1.66,4.42
2000,GA,13313,83.52,0.18,65.7
2000,GA,13315,8.58,18.29,23.07
2000,GA,13317,10.69,0.34,2.56
2000,GA,13319,10.22,27.41,28.29
2000,GA,13321,21.97,27.82,42.43
2000,HI,15001,148.68,,
2000,HI,15003,876.16,,
2000,HI,15005,0.15,,
2000,HI,15007,58.46,,
2000,HI,15009,128.09,,
2000,ID,16001,300.9,122.16,1193.24
2000,ID,16003,3.48,3.25,85.38
2000,ID,16005,75.57,51.69,402.52
2000,ID,16007,6.41,4.41,107.77
2000,ID,16009,9.17,1.79,3.46
2000,ID,16011,41.74,466.3,1377.9
2000,ID,16013,18.99,69.54,303.52
2000,ID,16015,6.67,1.39,9.75
2000,ID,16017,36.84,10.57,22.2
2000,ID,16019,82.52,136.21,836.36
2000,ID,16021,9.87,1.78,4.4
2000,ID,16023,2.9,105.12,213.34
2000,ID,16025,0.99,16.93,28.03
2000,ID,16027,131.44,287.78,709.68
2000,ID,16029,7.3,46.73,281.73
2000,ID,16031,21.42,501.04,792.26
2000,ID,16033,1.02,58.39,161.12
2000,ID,16035,8.93,0.89,2.11
2000,ID,16037,4.34,20.83,232.04
2000,ID,16039,29.13,80.17,299.01
2000,ID,16041,11.33,21.96,224.82
2000,ID,16043,11.82,51.31,390.67
2000,ID,16045,15.18,13.24,726.55
2000,ID,16047,14.16,113.99,1413.93
2000,ID,16049,15.51,3.0,19.29
2000,ID,16051,19.16,447.01,1959.33
2000,ID,16053,18.34,80.62,1681.33
2000,ID,16055,108.69,39.24,57.28
2000,ID,16057,34.94,7.79,8.25
2000,ID,16059,7.81,7.3,285.47
2000,ID,16061,3.75,0.68,1.53
2000,ID,16063,4.04,108.3,388.71
2000,ID,16065,27.47,106.23,802.45
2000,ID,16067,20.17,372.48,752.38
2000,ID,16069,37.41,3.36,187.65
2000,ID,16071,4.13,62.75,141.32
2000,ID,16073,10.64,94.77,424.72
2000,ID,16075,20.58,29.33,246.0
2000,ID,16077,7.54,212.66,340.89
2000,ID,16079,13.77,1.69,4.92
2000,ID,16081,6.0,41.78,167.84
2000,ID,16083,64.28,293.72,1876.79
2000,ID,16085,7.65,2.7,126.65
2000,ID,16087,9.98,34.56,165.34
2000,IL,17001,68.28,14.79,22.13
2000,IL,17003,9.59,2.06,3.06
2000,IL,17005,17.63,1.08,1.16
2000,IL,17007,41.79,5.87,5.87
2000,IL,17009,6.95,0.44,0.44
2000,IL,17011,35.5,7.92,7.99
2000,IL,17013,5.08,0.73,0.73
2000,IL,17015,16.67,6.94,6.94
2000,IL,17017,13.7,9.02,9.35
2000,IL,17019,179.67,29.37,29.37
2000,IL,17021,35.37,3.38,753.92
2000,IL,17023,17.01,2.61,2.61
2000,IL,17025,14.56,1.02,1.79
2000,IL,17027,35.54,3.1,4.99
2000,IL,17029,53.2,1.23,5.28
2000,IL,17031,5376.74,17.22,1738.41
2000,IL,17033,20.45,6.0,85.99
2000,IL,17035,11.25,1.08,1.22
2000,IL,17037,88.97,10.83,11.1
2000,IL,17039,16.8,2.4,630.7
2000,IL,17041,19.92,1.27,1.27
2000,IL,17043,904.16,12.74,12.74
2000,IL,17045,19.7,1.54,2.94
2000,IL,17047,6.97,0.38,0.5
2000,IL,17049,34.26,2.33,4.86
2000,IL,17051,21.8,1.61,2.59
2000,IL,17053,14.24,2.94,2.94
2000,IL,17055,39.02,0.34,14.71
2000,IL,17057,38.25,1.73,237.07
2000,IL,17059,6.45,12.03,12.76
2000,IL,17061,14.76,2.41,2.41
2000,IL,17063,37.54,12.05,978.84
2000,IL,17065,8.62,0.63,0.63
2000,IL,17067,20.12,2.41,3.5
2000,IL,17069,4.8,0.4,0.4
2000,IL,17071,8.21,12.5,12.55
2000,IL,17073,51.02,9.2,9.2
2000,IL,17075,31.33,5.22,5.22
2000,IL,17077,59.61,0.57,116.89
2000,IL,17079,10.12,1.99,528.72
2000,IL,17081,40.05,1.56,1.56
2000,IL,17083,21.67,2.27,2.27
2000,IL,17085,22.29,7.09,7.09
2000,IL,17087,12.88,1.06,2.1
2000,IL,17089,404.12,34.1,55.18
2000,IL,17091,103.83,10.18,23.02
2000,IL,17093,54.54,5.8,5.8
2000,IL,17095,55.84,2.4,2.4
2000,IL,17097,644.36,16.87,751.85
2000,IL,17099,111.51,17.34,78.16
2000,IL,17101,15.45,2.31,2.31
2000,IL,17103,36.06,8.44,9.79
2000,IL,17105,39.68,3.39,7.07
2000,IL,17107,31.18,5.13,5.13
2000,IL,17109,32.91,1.5,3.88
2000,IL,17111,260.08,35.05,35.09
2000,IL,17113,150.43,9.02,13.37
2000,IL,17115,114.71,4.0,41.67
2000,IL,17117,49.02,2.86,6.12
2000,IL,17119,258.94,46.32,646.75
2000,IL,17121,41.69,0.43,5.83
2000,IL,17123,13.18,5.65,5.77
2000,IL,17125,16.04,39.69,122.81
2000,IL,17127,15.16,10.23,564.93
2000,IL,17129,12.49,1.21,1.21
2000,IL,17131,16.96,3.66,3.66
2000,IL,17133,27.62,2.59,2.59
2000,IL,17135,30.65,1.38,442.19
2000,IL,17137,36.62,8.44,202.44
2000,IL,17139,14.29,1.55,1.55
2000,IL,17141,51.03,9.05,59.15
